model_label,n_obs,r2,adj_r2,aic,bic,f_stat,f_pvalue,oos_rmse_60,oos_rmse_70,oos_rmse_80,oos_rmse_90
Gardner_minutes_wordcount__4b_sd_var_joint_ev3.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_wordcount__4b_consensus_ev3.0,151,0.9726,0.9706,176.58,209.77,681.6706,0.0,,,0.48257,
Gardner_minutes_wordcount__4b_consensus_matched_interactions_ev3.0,151,0.9706,0.9685,186.94,220.13,635.3597,0.0,,,0.514915,
Gardner_minutes_wordcount__4c_all_topics_ev3.0,151,0.9706,0.9685,187.14,220.33,682.0334,0.0,,,0.476009,
Gardner_minutes_wordcount__4d_topic_pca_ev3.0,151,0.9717,0.9697,181.21,214.4,720.5042,0.0,,,0.459596,
Gardner_minutes_wordcount__4e_total_interactions_ev3.0,151,0.9745,0.9725,167.23,203.43,583.9966,0.0,,,0.5502,
Gardner_minutes_wordcount__4f_matched_interactions_ev3.0,151,0.9726,0.9706,176.46,209.65,732.8048,0.0,,,0.46396,
Gardner_minutes_wordcount__4g_novelty_ev3.0,150,0.968,0.9657,196.36,229.48,591.7113,0.0,,,0.527988,
Gardner_minutes_zscore__4a_total_sent_ev1.0,151,0.9686,0.9672,189.1,210.22,1009.8822,0.0,,,0.533,
Gardner_minutes_zscore__4b_sent_sd_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sent_var_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sd_var_joint_ev1.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_consensus_ev1.0,151,0.9741,0.9723,167.56,200.75,678.7804,0.0,,,0.480313,
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev1.0,151,0.9716,0.9696,181.58,214.77,621.1129,0.0,,,0.548806,
Gardner_minutes_zscore__4c_all_topics_ev1.0,151,0.9697,0.9676,191.44,224.63,675.1743,0.0,,,0.515918,
Gardner_minutes_zscore__4d_topic_pca_ev1.0,151,0.9698,0.9677,190.91,224.1,706.7745,0.0,,,0.524206,
Gardner_minutes_zscore__4e_total_interactions_ev1.0,151,0.9749,0.9729,165.07,201.28,644.5362,0.0,,,0.488407,
Gardner_minutes_zscore__4f_matched_interactions_ev1.0,151,0.9741,0.9722,167.97,201.16,767.1513,0.0,,,0.445668,
Gardner_minutes_zscore__4g_novelty_ev1.0,150,0.9675,0.9649,200.74,236.87,499.422,0.0,,,0.526685,
Gardner_minutes_zscore__4a_total_sent_ev1.5,151,0.9686,0.9672,189.1,210.22,1009.8822,0.0,,,0.533,
Gardner_minutes_zscore__4b_sent_sd_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sent_var_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_sd_var_joint_ev1.5,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
Gardner_minutes_zscore__4b_consensus_ev1.5,151,0.9741,0.9723,167.56,200.75,678.7804,0.0,,,0.480313,
Gardner_minutes_zscore__4b_consensus_matched_interactions_ev1.5,151,0.9716,0.9696,181.58,214.77,621.1129,0.0,,,0.548806,
Gardner_minutes_zscore__4c_all_topics_ev1.5,151,0.9697,0.9676,191.44,224.63,675.1743,0.0,,,0.515918,
Gardner_minutes_zscore__4d_topic_pca_ev1.5,151,0.9698,0.9677,190.91,224.1,706.7745,0.0,,,0.524206,
Gardner_minutes_zscore__4e_total_interactions_ev1.5,151,0.9749,0.9729,165.07,201.28,644.5362,0.0,,,0.488407,
Gardner_minutes_zscore__4f_matched_interactions_ev1.5,151,0.9741,0.9722,167.97,201.16,767.1513,0.0,,,0.445668,
Gardner_minutes_zscore__4g_novelty_ev1.5,150,0.9675,0.9649,200.74,236.87,499.422,0.0,,,0.526685,
Gardner_minutes_zscore__4a_total_sent_ev2.0,151,0.9686,0.9672,189.1,210.22,1009.8822,0.0,,,0.533,
Gardner_minutes_zscore__4b_sent_sd_ev2.0,151,0.968,0.9669,189.71,207.81,1225.8998,0.0,,,0.534327,
